month,state,industry,claim_type,claims_count_actual,distribution,param_1,param_2,base_avg_cost
2015-01,AK,Healthcare,LostTime,2,lognormal,8.55,0.72,8119.3
2015-01,AK,Manufacturing,Indemnity,3,lognormal,8.55,0.72,8716.1
2015-01,AK,Manufacturing,LostTime,2,lognormal,8.55,0.72,9850.4
2015-01,AL,Construction,Indemnity,5,lognormal,8.55,0.72,9249.8
2015-01,AL,Construction,LostTime,2,lognormal,8.55,0.72,12555.7
2015-01,AL,Healthcare,Indemnity,3,lognormal,8.55,0.72,7448.2
2015-01,AL,Healthcare,LostTime,5,lognormal,8.55,0.72,9689.2
2015-01,AL,Manufacturing,Indemnity,30,lognormal,8.55,0.72,7843.6
2015-01,AL,Manufacturing,LostTime,33,lognormal,8.55,0.72,10944.8
2015-01,AL,Manufacturing,MedicalOnly,3,lognormal,8.55,0.72,5388.6
2015-01,AR,Construction,Indemnity,3,lognormal,8.55,0.72,9385.0
2015-01,AR,Construction,LostTime,4,lognormal,8.55,0.72,10225.1
2015-01,AR,Healthcare,Indemnity,2,lognormal,8.55,0.72,10482.3
2015-01,AR,Healthcare,LostTime,10,lognormal,8.55,0.72,11463.6
2015-01,AR,Manufacturing,Indemnity,8,lognormal,8.55,0.72,11415.9
2015-01,AR,Manufacturing,LostTime,16,lognormal,8.55,0.72,12741.7
2015-01,AZ,Construction,Indemnity,2,lognormal,8.55,0.72,8952.4
2015-01,AZ,Construction,LostTime,2,lognormal,8.55,0.72,15132.2
2015-01,AZ,Healthcare,Indemnity,5,lognormal,8.55,0.72,9599.0
2015-01,AZ,Healthcare,LostTime,4,lognormal,8.55,0.72,10457.5
2015-01,AZ,Manufacturing,Indemnity,3,lognormal,8.55,0.72,10930.3
2015-01,AZ,Manufacturing,LostTime,3,lognormal,8.55,0.72,10044.0
2015-01,CA,Construction,Indemnity,3,lognormal,8.55,0.72,10938.0
2015-01,CA,Construction,LostTime,3,lognormal,8.55,0.72,15238.7
2015-01,CA,Healthcare,Indemnity,2,lognormal,8.55,0.72,10387.9
2015-01,CA,Healthcare,LostTime,5,lognormal,8.55,0.72,14304.6
2015-01,CA,Manufacturing,Indemnity,2,lognormal,8.55,0.72,9372.6
2015-01,CA,Manufacturing,LostTime,10,lognormal,8.55,0.72,15006.5
2015-01,CO,Construction,Indemnity,2,lognormal,8.55,0.72,9572.2
2015-01,CO,Construction,LostTime,18,lognormal,8.55,0.72,10984.9
2015-01,CO,Healthcare,Indemnity,4,lognormal,8.55,0.72,6970.0
2015-01,CO,Healthcare,LostTime,3,lognormal,8.55,0.72,8430.8
2015-01,CO,Manufacturing,Indemnity,7,lognormal,8.55,0.72,11333.1
2015-01,CO,Manufacturing,LostTime,33,lognormal,8.55,0.72,12749.6
2015-01,CO,Manufacturing,MedicalOnly,2,lognormal,8.55,0.72,6876.9
2015-01,CT,Construction,Indemnity,3,lognormal,8.55,0.72,10775.6
2015-01,CT,Construction,LostTime,2,lognormal,8.55,0.72,13655.3
2015-01,CT,Healthcare,Indemnity,2,lognormal,8.55,0.72,9115.1
2015-01,CT,Healthcare,LostTime,2,lognormal,8.55,0.72,12410.8
2015-01,CT,Manufacturing,Indemnity,2,lognormal,8.55,0.72,10694.7
2015-01,CT,Manufacturing,LostTime,6,lognormal,8.55,0.72,11668.3
2015-01,CT,Manufacturing,MedicalOnly,2,lognormal,8.55,0.72,5435.7
2015-01,DC,Construction,Indemnity,3,lognormal,8.55,0.72,9579.5
2015-01,DC,Construction,LostTime,2,lognormal,8.55,0.72,11732.4
2015-01,DC,Healthcare,Indemnity,3,lognormal,8.55,0.72,8769.0
2015-01,DC,Healthcare,LostTime,2,lognormal,8.55,0.72,8087.5
2015-01,DC,Manufacturing,Indemnity,2,lognormal,8.55,0.72,8237.3
2015-01,DC,Manufacturing,LostTime,5,lognormal,8.55,0.72,12880.1
2015-01,DE,Construction,Indemnity,2,lognormal,8.55,0.72,10892.2
2015-01,DE,Construction,LostTime,2,lognormal,8.55,0.72,14590.9
2015-01,DE,Healthcare,Indemnity,3,lognormal,8.55,0.72,8375.4
2015-01,DE,Healthcare,LostTime,2,lognormal,8.55,0.72,12073.6
2015-01,DE,Manufacturing,Indemnity,2,lognormal,8.55,0.72,8850.0
2015-01,DE,Manufacturing,LostTime,5,lognormal,8.55,0.72,9771.9
2015-01,FL,Construction,Indemnity,3,lognormal,8.55,0.72,10954.8
2015-01,FL,Construction,LostTime,31,lognormal,8.55,0.72,12443.7
2015-01,FL,Construction,MedicalOnly,3,lognormal,8.55,0.72,6687.0
2015-01,FL,Healthcare,Indemnity,2,lognormal,8.55,0.72,8542.9
2015-01,FL,Healthcare,LostTime,16,lognormal,8.55,0.72,10902.5
2015-01,FL,Manufacturing,Indemnity,24,lognormal,8.55,0.72,8027.6
2015-01,FL,Manufacturing,LostTime,131,lognormal,8.55,0.72,10534.8
2015-01,FL,Manufacturing,MedicalOnly,2,lognormal,8.55,0.72,6482.9
2015-01,GA,Construction,Indemnity,3,lognormal,8.55,0.72,11685.2
2015-01,GA,Construction,LostTime,15,lognormal,8.55,0.72,11570.9
2015-01,GA,Healthcare,Indemnity,5,lognormal,8.55,0.72,8173.6
2015-01,GA,Healthcare,LostTime,3,lognormal,8.55,0.72,10687.2
2015-01,GA,Manufacturing,Indemnity,46,lognormal,8.55,0.72,7745.4
2015-01,GA,Manufacturing,LostTime,41,lognormal,8.55,0.72,12429.8
2015-01,GA,Manufacturing,MedicalOnly,2,lognormal,8.55,0.72,7066.4
2015-01,HI,Construction,Indemnity,3,lognormal,8.55,0.72,10397.9
2015-01,HI,Construction,LostTime,5,lognormal,8.55,0.72,11596.0
2015-01,HI,Healthcare,LostTime,3,lognormal,8.55,0.72,10260.8
2015-01,HI,Manufacturing,Indemnity,2,lognormal,8.55,0.72,7583.0
2015-01,HI,Manufacturing,LostTime,2,lognormal,8.55,0.72,13493.9
2015-01,IA,Construction,Indemnity,3,lognormal,8.55,0.72,11468.1
2015-01,IA,Construction,LostTime,3,lognormal,8.55,0.72,10265.5
2015-01,IA,Healthcare,Indemnity,3,lognormal,8.55,0.72,7500.3
2015-01,IA,Healthcare,LostTime,2,lognormal,8.55,0.72,8901.1
2015-01,IA,Manufacturing,Indemnity,2,lognormal,8.55,0.72,11252.4
2015-01,IA,Manufacturing,LostTime,3,lognormal,8.55,0.72,13119.7
2015-01,ID,Construction,Indemnity,2,lognormal,8.55,0.72,9915.2
2015-01,ID,Construction,LostTime,3,lognormal,8.55,0.72,10321.5
2015-01,ID,Healthcare,Indemnity,2,lognormal,8.55,0.72,7094.5
2015-01,ID,Healthcare,LostTime,3,lognormal,8.55,0.72,9130.6
2015-01,ID,Manufacturing,Indemnity,5,lognormal,8.55,0.72,7517.8
2015-01,ID,Manufacturing,LostTime,4,lognormal,8.55,0.72,11455.1
2015-01,IL,Construction,Indemnity,6,lognormal,8.55,0.72,10107.3
2015-01,IL,Construction,LostTime,4,lognormal,8.55,0.72,10323.6
2015-01,IL,Healthcare,Indemnity,4,lognormal,8.55,0.72,7349.4
2015-01,IL,Healthcare,LostTime,18,lognormal,8.55,0.72,10668.1
2015-01,IL,Manufacturing,Indemnity,45,lognormal,8.55,0.72,11573.6
2015-01,IL,Manufacturing,LostTime,72,lognormal,8.55,0.72,13169.7
2015-01,IL,Manufacturing,MedicalOnly,2,lognormal,8.55,0.72,6453.0
2015-01,IN,Healthcare,LostTime,5,lognormal,8.55,0.72,11066.3
