month,state,industry,claim_type,claims_count_actual
2015-01,AL,Construction,LostTime,1
2015-01,AL,Healthcare,Indemnity,1
2015-01,AL,Manufacturing,Indemnity,9
2015-01,AL,Manufacturing,LostTime,10
2015-01,AR,Healthcare,LostTime,3
2015-01,AR,Manufacturing,Indemnity,5
2015-01,AR,Manufacturing,LostTime,5
2015-01,CA,Construction,LostTime,1
2015-01,CA,Manufacturing,LostTime,3
2015-01,CO,Construction,LostTime,7
2015-01,CO,Manufacturing,Indemnity,2
2015-01,CO,Manufacturing,LostTime,11
2015-01,CT,Construction,LostTime,1
2015-01,CT,Healthcare,LostTime,1
2015-01,CT,Manufacturing,Indemnity,1
2015-01,CT,Manufacturing,LostTime,2
2015-01,DC,Construction,LostTime,1
2015-01,DC,Healthcare,LostTime,1
2015-01,DC,Manufacturing,Indemnity,1
2015-01,DE,Construction,LostTime,1
2015-01,DE,Manufacturing,Indemnity,1
2015-01,DE,Manufacturing,LostTime,2
2015-01,FL,Construction,Indemnity,1
2015-01,FL,Construction,LostTime,15
2015-01,FL,Healthcare,LostTime,8
2015-01,FL,Manufacturing,Indemnity,12
2015-01,FL,Manufacturing,LostTime,41
2015-01,GA,Construction,Indemnity,1
2015-01,GA,Construction,LostTime,5
2015-01,GA,Healthcare,LostTime,1
2015-01,GA,Manufacturing,Indemnity,17
2015-01,GA,Manufacturing,LostTime,18
2015-01,ID,Healthcare,LostTime,1
2015-01,ID,Manufacturing,Indemnity,2
2015-01,ID,Manufacturing,LostTime,2
2015-01,IL,Construction,LostTime,2
2015-01,IL,Healthcare,Indemnity,2
2015-01,IL,Healthcare,LostTime,9
2015-01,IL,Manufacturing,Indemnity,20
2015-01,IL,Manufacturing,LostTime,34
2015-01,IN,Manufacturing,LostTime,1
2015-01,KS,Construction,Indemnity,1
2015-01,KS,Construction,LostTime,1
2015-01,KS,Healthcare,LostTime,1
2015-01,KS,Manufacturing,Indemnity,3
2015-01,KS,Manufacturing,LostTime,10
2015-01,LA,Construction,Indemnity,1
2015-01,LA,Construction,LostTime,2
2015-01,LA,Healthcare,LostTime,2
2015-01,LA,Manufacturing,Indemnity,3
2015-01,LA,Manufacturing,LostTime,9
2015-01,MA,Construction,LostTime,7
2015-01,MA,Healthcare,LostTime,5
2015-01,MA,Manufacturing,Indemnity,3
2015-01,MA,Manufacturing,LostTime,14
2015-01,MD,Manufacturing,LostTime,1
2015-01,ME,Construction,LostTime,1
2015-01,ME,Healthcare,LostTime,1
2015-01,ME,Manufacturing,Indemnity,1
2015-01,ME,Manufacturing,LostTime,6
2015-01,MI,Manufacturing,LostTime,2
2015-01,MO,Construction,LostTime,4
2015-01,MO,Manufacturing,Indemnity,2
2015-01,MO,Manufacturing,LostTime,15
2015-01,MS,Construction,LostTime,2
2015-01,MS,Healthcare,Indemnity,1
2015-01,MS,Manufacturing,Indemnity,3
2015-01,MS,Manufacturing,LostTime,9
2015-01,MT,Manufacturing,LostTime,1
2015-01,NC,Manufacturing,Indemnity,2
2015-01,ND,Construction,LostTime,2
2015-01,ND,Manufacturing,Indemnity,1
2015-01,ND,Manufacturing,LostTime,15
2015-01,NE,Construction,LostTime,2
2015-01,NE,Healthcare,LostTime,3
2015-01,NE,Manufacturing,Indemnity,3
2015-01,NE,Manufacturing,LostTime,8
2015-01,NH,Construction,LostTime,1
2015-01,NH,Healthcare,LostTime,2
2015-01,NH,Manufacturing,Indemnity,2
2015-01,NH,Manufacturing,LostTime,2
2015-01,NJ,Construction,Indemnity,2
2015-01,NJ,Construction,LostTime,6
2015-01,NJ,Healthcare,Indemnity,1
2015-01,NJ,Healthcare,LostTime,3
2015-01,NJ,Manufacturing,LostTime,21
2015-01,NM,Manufacturing,Indemnity,1
2015-01,NY,Construction,Indemnity,3
2015-01,NY,Construction,LostTime,6
2015-01,NY,Healthcare,LostTime,3
2015-01,NY,Manufacturing,Indemnity,3
2015-01,NY,Manufacturing,LostTime,19
2015-01,OH,Construction,Indemnity,1
2015-01,OH,Construction,LostTime,2
2015-01,OH,Healthcare,LostTime,7
2015-01,OH,Manufacturing,Indemnity,22
2015-01,OH,Manufacturing,LostTime,27
2015-01,OK,Construction,Indemnity,1
2015-01,OK,Construction,LostTime,4
2015-01,OK,Healthcare,LostTime,2
2015-01,OK,Manufacturing,Indemnity,5
2015-01,OK,Manufacturing,LostTime,12
2015-01,OR,Manufacturing,LostTime,1
2015-01,PA,Construction,Indemnity,2
2015-01,PA,Construction,LostTime,5
2015-01,PA,Healthcare,Indemnity,1
2015-01,PA,Healthcare,LostTime,6
2015-01,PA,Manufacturing,Indemnity,21
2015-01,PA,Manufacturing,LostTime,40
2015-01,RI,Manufacturing,Indemnity,1
2015-01,RI,Manufacturing,LostTime,2
2015-01,SD,Construction,LostTime,1
2015-01,SD,Manufacturing,LostTime,2
2015-01,TN,Manufacturing,LostTime,1
2015-01,TX,Construction,Indemnity,5
2015-01,TX,Construction,LostTime,25
2015-01,TX,Healthcare,Indemnity,3
2015-01,TX,Healthcare,LostTime,12
2015-01,TX,Manufacturing,Indemnity,38
2015-01,TX,Manufacturing,LostTime,59
2015-01,UT,Manufacturing,LostTime,1
2015-01,VA,Manufacturing,Indemnity,1
2015-01,VA,Manufacturing,LostTime,5
2015-01,WI,Construction,Indemnity,2
2015-01,WI,Construction,LostTime,3
2015-01,WI,Healthcare,Indemnity,2
2015-01,WI,Healthcare,LostTime,5
2015-01,WI,Manufacturing,Indemnity,10
2015-01,WI,Manufacturing,LostTime,20
2015-01,WV,Construction,LostTime,1
2015-01,WV,Manufacturing,Indemnity,2
2015-01,WV,Manufacturing,LostTime,10
2015-02,AL,Construction,LostTime,2
2015-02,AL,Healthcare,Indemnity,1
2015-02,AL,Healthcare,LostTime,1
2015-02,AL,Manufacturing,Indemnity,6
2015-02,AL,Manufacturing,LostTime,10
2015-02,AR,Construction,Indemnity,1
2015-02,AR,Construction,LostTime,2
2015-02,AR,Healthcare,LostTime,1
2015-02,AR,Manufacturing,Indemnity,7
2015-02,AR,Manufacturing,LostTime,9
2015-02,AZ,Manufacturing,Indemnity,1
2015-02,CA,Manufacturing,Indemnity,1
2015-02,CA,Manufacturing,LostTime,5
2015-02,CO,Construction,LostTime,4
2015-02,CO,Healthcare,Indemnity,1
2015-02,CO,Healthcare,LostTime,2
2015-02,CO,Manufacturing,Indemnity,4
2015-02,CO,Manufacturing,LostTime,10
2015-02,CT,Healthcare,LostTime,5
2015-02,CT,Manufacturing,Indemnity,2
2015-02,CT,Manufacturing,LostTime,9
2015-02,DC,Construction,LostTime,1
2015-02,DE,Manufacturing,Indemnity,1
2015-02,DE,Manufacturing,LostTime,3
2015-02,FL,Construction,Indemnity,1
2015-02,FL,Construction,LostTime,13
2015-02,FL,Healthcare,Indemnity,1
2015-02,FL,Healthcare,LostTime,6
2015-02,FL,Manufacturing,Indemnity,10
2015-02,FL,Manufacturing,LostTime,27
2015-02,GA,Construction,LostTime,4
2015-02,GA,Healthcare,LostTime,4
2015-02,GA,Manufacturing,Indemnity,9
2015-02,GA,Manufacturing,LostTime,14
2015-02,HI,Manufacturing,LostTime,1
2015-02,IA,Healthcare,LostTime,1
2015-02,ID,Manufacturing,Indemnity,1
2015-02,ID,Manufacturing,LostTime,1
2015-02,IL,Construction,Indemnity,1
2015-02,IL,Construction,LostTime,7
2015-02,IL,Healthcare,LostTime,8
2015-02,IL,Manufacturing,Indemnity,6
2015-02,IL,Manufacturing,LostTime,27
2015-02,KS,Construction,LostTime,2
2015-02,KS,Healthcare,Indemnity,2
2015-02,KS,Healthcare,LostTime,1
2015-02,KS,Manufacturing,Indemnity,3
2015-02,KS,Manufacturing,LostTime,9
2015-02,KY,Manufacturing,LostTime,2
2015-02,LA,Construction,LostTime,6
2015-02,LA,Manufacturing,Indemnity,6
2015-02,LA,Manufacturing,LostTime,10
2015-02,MA,Construction,Indemnity,2
2015-02,MA,Healthcare,LostTime,2
2015-02,MA,Manufacturing,Indemnity,3
2015-02,MA,Manufacturing,LostTime,12
2015-02,MD,Construction,LostTime,1
2015-02,ME,Manufacturing,LostTime,3
2015-02,MI,Manufacturing,LostTime,1
2015-02,MN,Manufacturing,Indemnity,1
2015-02,MN,Manufacturing,LostTime,1
2015-02,MO,Construction,Indemnity,1
2015-02,MO,Construction,LostTime,1
2015-02,MO,Healthcare,Indemnity,2
2015-02,MO,Healthcare,LostTime,1
2015-02,MO,Manufacturing,Indemnity,6
2015-02,MO,Manufacturing,LostTime,14
2015-02,MS,Construction,LostTime,1
2015-02,MS,Manufacturing,Indemnity,2
2015-02,MS,Manufacturing,LostTime,10
2015-02,MT,Construction,LostTime,1
2015-02,MT,Manufacturing,Indemnity,1
2015-02,MT,Manufacturing,LostTime,1
2015-02,NC,Construction,LostTime,1
2015-02,ND,Construction,LostTime,1
2015-02,ND,Manufacturing,Indemnity,2
2015-02,ND,Manufacturing,LostTime,5
2015-02,NE,Construction,LostTime,3
2015-02,NE,Healthcare,LostTime,4
2015-02,NE,Manufacturing,Indemnity,3
2015-02,NE,Manufacturing,LostTime,3
2015-02,NH,Construction,LostTime,1
2015-02,NH,Healthcare,LostTime,1
2015-02,NH,Manufacturing,Indemnity,2
2015-02,NH,Manufacturing,LostTime,4
2015-02,NJ,Construction,LostTime,1
2015-02,NJ,Healthcare,LostTime,2
2015-02,NJ,Manufacturing,LostTime,14
2015-02,NY,Construction,LostTime,7
2015-02,NY,Healthcare,LostTime,6
2015-02,NY,Manufacturing,Indemnity,8
2015-02,NY,Manufacturing,LostTime,27
2015-02,OH,Construction,LostTime,2
2015-02,OH,Healthcare,Indemnity,1
2015-02,OH,Healthcare,LostTime,4
2015-02,OH,Manufacturing,Indemnity,17
2015-02,OH,Manufacturing,LostTime,29
2015-02,OK,Healthcare,LostTime,1
2015-02,OK,Manufacturing,Indemnity,8
2015-02,OK,Manufacturing,LostTime,9
2015-02,PA,Construction,Indemnity,2
2015-02,PA,Construction,LostTime,6
2015-02,PA,Healthcare,Indemnity,2
2015-02,PA,Healthcare,LostTime,16
2015-02,PA,Manufacturing,Indemnity,15
2015-02,PA,Manufacturing,LostTime,47
2015-02,RI,Manufacturing,LostTime,2
2015-02,SC,Manufacturing,Indemnity,1
2015-02,SD,Construction,LostTime,1
2015-02,SD,Healthcare,LostTime,1
2015-02,SD,Manufacturing,LostTime,2
2015-02,TN,Manufacturing,LostTime,2
2015-02,TX,Construction,Indemnity,7
2015-02,TX,Construction,LostTime,16
2015-02,TX,Healthcare,LostTime,10
2015-02,TX,Manufacturing,Indemnity,17
2015-02,TX,Manufacturing,LostTime,64
2015-02,VA,Construction,LostTime,2
2015-02,VA,Manufacturing,LostTime,5
2015-02,VT,Manufacturing,LostTime,1
2015-02,WA,Manufacturing,LostTime,1
2015-02,WI,Construction,Indemnity,1
2015-02,WI,Construction,LostTime,3
2015-02,WI,Manufacturing,Indemnity,9
2015-02,WI,Manufacturing,LostTime,20
2015-02,WV,Healthcare,LostTime,1
2015-02,WV,Manufacturing,LostTime,3
2015-03,AL,Construction,LostTime,2
2015-03,AL,Healthcare,LostTime,1
2015-03,AL,Manufacturing,Indemnity,4
2015-03,AL,Manufacturing,LostTime,18
2015-03,AR,Construction,LostTime,2
2015-03,AR,Manufacturing,Indemnity,7
2015-03,AR,Manufacturing,LostTime,11
2015-03,CA,Manufacturing,Indemnity,1
2015-03,CA,Manufacturing,LostTime,4
2015-03,CO,Construction,LostTime,6
2015-03,CO,Healthcare,LostTime,1
2015-03,CO,Manufacturing,Indemnity,5
2015-03,CO,Manufacturing,LostTime,8
2015-03,CT,Healthcare,LostTime,1
2015-03,CT,Manufacturing,LostTime,4
2015-03,DC,Construction,LostTime,1
2015-03,DC,Manufacturing,LostTime,1
2015-03,DE,Construction,LostTime,4
2015-03,DE,Healthcare,LostTime,2
2015-03,FL,Construction,Indemnity,1
2015-03,FL,Construction,LostTime,20
2015-03,FL,Healthcare,LostTime,11
2015-03,FL,Manufacturing,Indemnity,11
2015-03,FL,Manufacturing,LostTime,35
2015-03,GA,Construction,Indemnity,1
2015-03,GA,Construction,LostTime,5
2015-03,GA,Healthcare,Indemnity,1
2015-03,GA,Healthcare,LostTime,1
